Index,uv,dv,ubar,dbar,u,d
21,2.8148077746877037e-06,3.709206057538759e-05,2.8541021645350572e-11,2.433741463457912e-11,2.814836315709349e-06,3.709208491280222e-05
22,3.0108109727068397e-06,3.895960312448906e-05,3.2724448263815556e-11,2.7901159496854286e-11,3.0108436971551036e-06,3.895963102564856e-05
23,3.3393385373865743e-06,4.2014726263525625e-05,4.039312003024783e-11,3.4432597546839905e-11,3.3393789305066047e-06,4.201476069612317e-05
24,3.3995477376703504e-06,4.2565225259250905e-05,4.188811395320615e-11,3.570571411079232e-11,3.3995896257843038e-06,4.2565260964965014e-05
25,5.278421010234875e-06,5.859069959532199e-05,1.0268257649715416e-10,8.744329062667633e-11,5.278523692811372e-06,5.859078703861261e-05
26,5.779470670434114e-06,6.256232011906345e-05,1.2358822238867943e-10,1.0522321914977389e-10,5.779594258656502e-06,6.25624253422826e-05
27,6.032575900329326e-06,6.452992445498434e-05,1.3491108857027887e-10,1.1485130952084998e-10,6.032710811417897e-06,6.453003930629386e-05
28,6.076623254171235e-06,6.486981431097703e-05,1.3693409261059308e-10,1.1657139046125005e-10,6.076760188263846e-06,6.486993088236749e-05
29,6.08255788989536e-06,6.491555241837264e-05,1.372078501751509e-10,1.168041529382255e-10,6.082695097745534e-06,6.491566922252558e-05
30,7.301398097080095e-06,7.404706323261991e-05,1.9946865661124024e-10,1.697257743839466e-10,7.301597565736706e-06,7.404723295839429e-05
31,7.5094268206229495e-06,7.555821837562896e-05,2.1130394235931456e-10,1.7978262543852645e-10,7.509638124565309e-06,7.55583981582544e-05
32,7.635976619292892e-06,7.647126875657347e-05,2.1867756563518617e-10,1.860478007769805e-10,7.636195296858527e-06,7.647145480437425e-05
33,9.332453273696736e-06,8.829727702198776e-05,3.303570863209301e-10,2.809028906805264e-10,9.332783630783057e-06,8.829755792487844e-05
34,1.1102941938148882e-05,9.994012415341266e-05,4.728166716438596e-10,4.01823615835555e-10,1.1103414754820525e-05,9.994052597702849e-05
35,1.182204328927156e-05,0.00010449712675786778,5.383776320336474e-10,4.57449289558157e-10,1.1822581666903594e-05,0.00010449758420715734
36,1.1906031878445912e-05,0.0001050234956545414,5.463282694141167e-10,4.641942045741688e-10,1.1906578206715327e-05,0.00010502395984874598
37,1.3607785753540662e-05,0.00011543882561937468,7.208254584506442e-10,6.121875431803734e-10,1.3608506578999112e-05,0.00011543943780691787
38,1.4459814282286378e-05,0.00012048944255540627,8.178893765852812e-10,6.944784779052494e-10,1.4460632171662963e-05,0.00012049013703388417
39,1.5357397674334495e-05,0.00012570456997516876,9.272278083190954e-10,7.87153313092433e-10,1.5358324902142812e-05,0.00012570535712848186
40,1.591120505333244e-05,0.00012887029303086298,9.983620404639727e-10,8.474348646880962e-10,1.5912203415372907e-05,0.00012887114046572767
41,1.8117548594912986e-05,0.00014111618631534498,1.3100724789438433e-09,1.1114960701493657e-09,1.811885866739193e-05,0.00014111729781141513
42,1.9663883273054986e-05,0.00014938949580209162,1.5558840386706002e-09,1.3196398483255225e-09,1.9665439157093658e-05,0.00014939081544193994
43,2.091162434990064e-05,0.00015589272769476242,1.7710580949762917e-09,1.5017850540987684e-09,2.0913395407995616e-05,0.0001558942294798165
