Index,uv,dv,ubar,dbar
1,12.439796287436572,9.0143117490497,12.439796287436572,9.0143117490497
2,11.414664954659061,8.362327176402117,11.414664954659061,8.362327176402117
3,10.391601536894614,7.711657551539507,10.391601536894614,7.711657551539507
4,10.088852229653686,7.51910846981688,10.088852229653686,7.51910846981688
5,9.181341218057934,6.941928716234094,9.181341218057934,6.941928716234094
6,8.873063940699538,6.745862566528025,8.873063940699538,6.745862566528025
7,8.673292008034503,6.6188059964389385,8.673292008034503,6.6188059964389385
8,8.316674355681684,6.391992896383863,8.316674355681684,6.391992896383863
9,8.300015639099865,6.381397695607801,8.300015639099865,6.381397695607801
10,8.256685178576955,6.3538388247515485,8.256685178576955,6.3538388247515485
11,8.125983425250691,6.270710120381078,8.125983425250691,6.270710120381078
12,8.117228953739666,6.265142099753506,8.117228953739666,6.265142099753506
13,8.10204863284041,6.255487103807845,8.10204863284041,6.255487103807845
14,8.045843160359025,6.219739206843682,8.045843160359025,6.219739206843682
15,8.020053654005817,6.203336488404821,8.020053654005817,6.203336488404821
16,7.972354831719823,6.172998881165218,7.972354831719823,6.172998881165218
17,7.736914017991016,6.02325146254883,7.736914017991016,6.02325146254883
18,7.295375584809107,5.742410843570831,7.295375584809107,5.742410843570831
19,7.293592693659388,5.741276802289772,7.293592693659388,5.741276802289772
20,7.198900386571659,5.681045493463269,7.198900386571659,5.681045493463269
21,7.176705643167257,5.666927846329573,7.176705643167257,5.666927846329573
22,7.128645330625761,5.63635739968711,7.128645330625761,5.63635739968711
23,7.054659117097053,5.5892952671478255,7.054659117097053,5.5892952671478255
24,7.041886496740915,5.581170609464388,7.041886496740915,5.581170609464388
25,6.726649089932131,5.380639055300142,6.726649089932131,5.380639055300142
26,6.661467641576018,5.3391725740787805,6.661467641576018,5.3391725740787805
27,6.63063054410885,5.319554544999806,6.63063054410885,5.319554544999806
28,6.625394511641943,5.3162234451429,6.625394511641943,5.3162234451429
29,6.624691902963711,5.315776453495715,6.624691902963711,5.315776453495715
30,6.493038507636128,5.232017399142204,6.493038507636128,5.232017399142204
31,6.472752793753168,5.2191109397649456,6.472752793753168,5.2191109397649456
32,6.460680596754441,5.211430128495084,6.460680596754441,5.211430128495084
33,6.315439487109619,5.119017480333296,6.315439487109619,5.119017480333296
34,6.1891713752007185,5.038669009133995,6.1891713752007185,5.038669009133995
35,6.143427805979882,5.009558807771443,6.143427805979882,5.009558807771443
36,6.138263155089459,5.006272061139082,6.138263155089459,5.006272061139082
37,6.040597021320092,4.944114889566621,6.040597021320092,4.944114889566621
38,5.996072932848247,4.915776507271099,5.996072932848247,4.915776507271099
39,5.951845117676186,4.887625239196487,5.951845117676186,4.887625239196487
40,5.925787174763719,4.871038483467685,5.925787174763719,4.871038483467685
41,5.829977040485621,4.8100471232900075,5.829977040485621,4.8100471232900075
42,5.769327657908963,4.771434144011454,5.769327657908963,4.771434144011454
43,5.723634477630849,4.742340644574209,5.723634477630849,4.742340644574209
44,5.716853928410806,4.7380231767710566,5.716853928410806,4.7380231767710566
45,5.615152603539445,4.673259008643018,5.615152603539445,4.673259008643018
46,5.611598966572773,4.6709957908500845,5.611598966572773,4.6709957908500845
47,5.588847440330754,4.656505542085087,5.588847440330754,4.656505542085087
48,5.5781447183704485,4.649688827391245,5.5781447183704485,4.649688827391245
49,5.551378190347033,4.632640142319055,5.551378190347033,4.632640142319055
50,5.510383682250656,4.606527047681967,5.510383682250656,4.606527047681967
51,5.475299799145054,4.5841769050204855,5.475299799145054,4.5841769050204855
52,5.376193633436288,4.521030246979685,5.376193633436288,4.521030246979685
53,5.345232126959297,4.501299073801808,5.345232126959297,4.501299073801808
54,5.2891059873886785,4.46552605430174,5.2891059873886785,4.46552605430174
55,5.139395563538871,4.370070468952179,5.139395563538871,4.370070468952179
56,5.111175864061016,4.35207115362109,5.111175864061016,4.35207115362109
57,5.055793220632649,4.3167399346277024,5.055793220632649,4.3167399346277024
58,5.055680992303975,4.316668329566797,5.055680992303975,4.316668329566797
59,5.044934052535526,4.309811277948744,5.044934052535526,4.309811277948744
60,5.035516709998699,4.30380227636521,5.035516709998699,4.30380227636521
61,5.011175279461441,4.288269231725707,5.011175279461441,4.288269231725707
62,4.965460461750543,4.25909184538256,4.965460461750543,4.25909184538256
63,4.960295118845249,4.255794624580192,4.960295118845249,4.255794624580192
64,4.93870845790668,4.242014067943143,4.93870845790668,4.242014067943143
65,4.92111811117153,4.23078343531917,4.92111811117153,4.23078343531917
66,4.8371081199659995,4.177130360944029,4.8371081199659995,4.177130360944029
67,4.829238582201401,4.172102993027382,4.829238582201401,4.172102993027382
68,4.788339397822705,4.1459706411982475,4.788339397822705,4.1459706411982475
69,4.762012275587098,4.129145030954018,4.762012275587098,4.129145030954018
70,4.751386335433004,4.1223530890605575,4.751386335433004,4.1223530890605575
71,4.739464258589298,4.114732027112312,4.739464258589298,4.114732027112312
72,4.72630275067197,4.106317860786231,4.72630275067197,4.106317860786231
73,4.634547995491223,4.047633871133594,4.634547995491223,4.047633871133594
74,4.631910833807822,4.045946526342602,4.631910833807822,4.045946526342602
75,4.625618214550316,4.041920134640248,4.625618214550316,4.041920134640248
76,4.611466245091343,4.032864019233123,4.611466245091343,4.032864019233123
77,4.599693944510935,4.02532979434782,4.599693944510935,4.02532979434782
78,4.598796203774138,4.024755209718615,4.598796203774138,4.024755209718615
79,4.5850893573889735,4.015981752065128,4.5850893573889735,4.015981752065128
80,4.573410832553477,4.008505665122595,4.573410832553477,4.008505665122595
81,4.5698399673015455,4.006219581146484,4.5698399673015455,4.006219581146484
82,4.569067470037648,4.0057250143484335,4.569067470037648,4.0057250143484335
83,4.5603753363200425,4.000159891185611,4.5603753363200425,4.000159891185611
84,4.533994129364552,3.9832663815643428,4.533994129364552,3.9832663815643428
85,4.5042664276982824,3.9642243426012236,4.5042664276982824,3.9642243426012236
86,4.482247388037136,3.950116127752632,4.482247388037136,3.950116127752632
87,4.462618434200383,3.9375363735125974,4.462618434200383,3.9375363735125974
88,4.450677539330721,3.929882333947156,4.450677539330721,3.929882333947156
89,4.440228332632638,3.9231835772010952,4.440228332632638,3.9231835772010952
90,4.392174278770101,3.8923662312355964,4.392174278770101,3.8923662312355964
91,4.373646112965566,3.8804790209045037,4.373646112965566,3.8804790209045037
