Index,uv,dv
1,7.204660990579728e-29,-2.0153585799016417e-22
2,1.8285946585721363e-25,-1.33075728446391e-19
3,6.9965336987067745e-25,-4.0436026737785925e-19
4,1.0935954747718873e-23,-3.941530830192494e-18
5,1.1948916070868877e-23,-4.24159106445106e-18
6,2.4437032567843826e-23,-7.671482408588434e-18
7,2.185397504588807e-22,-4.7090541833019725e-17
8,5.404661382311983e-22,-9.96846899172721e-17
9,5.5759925016327804e-21,-6.8879671167506495e-16
10,6.29110399816953e-21,-7.611924801734405e-16
11,1.2003005885532938e-20,-1.2997706361262677e-15
12,1.616655550836915e-20,-1.6633366968288365e-15
13,4.458889277019892e-20,-3.853960098230815e-15
14,8.249901097527539e-20,-6.415474616827014e-15
15,2.113344370864773e-19,-1.3982279073579962e-14
16,2.1231974838644437e-19,-1.4036249617553595e-14
17,1.0101032709469773e-18,-5.108212929075286e-14
18,5.2290029685513996e-18,-1.9936854369112937e-13
19,8.867435944609465e-18,-3.0876561241739785e-13
20,9.38596903274263e-18,-3.236456257760444e-13
21,1.2079135032729363e-17,-3.988450782161774e-13
22,1.4936559931324813e-17,-4.755277676020373e-13
23,2.0583081413906866e-17,-6.201680440592664e-13
24,3.395908735239107e-17,-9.388454182554387e-13
25,4.469966885129433e-17,-1.1787872897144216e-12
26,4.6084485190387945e-17,-1.2089520939279412e-12
27,5.681074547964863e-17,-1.4377046349485651e-12
28,1.1846056633097988e-16,-2.6422333677458115e-12
29,2.016934184496906e-16,-4.1055345750071885e-12
30,2.6388860865884095e-16,-5.129043938924039e-12
31,3.219558807429403e-16,-6.047363027584544e-12
32,3.5829240736390597e-16,-6.607311625146149e-12
33,4.2722704998915517e-16,-7.64381145327858e-12
34,4.406235270961976e-16,-7.841768201643608e-12
35,4.720943186211538e-16,-8.30280663588796e-12
36,7.86495051002764e-16,-1.2670269114272974e-11
37,8.444609692089115e-16,-1.343878129573716e-11
38,8.591903221728707e-16,-1.3632596260020329e-11
39,9.41398879707791e-16,-1.4704156350150565e-11
40,1.008831334520671e-15,-1.557110308080142e-11
41,1.2886351402946712e-15,-1.9070047856899913e-11
42,2.597696758438451e-15,-3.4076404288089803e-11
43,3.7571409958388044e-15,-4.625474077889099e-11
44,3.8218891668888206e-15,-4.691377546524589e-11
45,4.746237180407961e-15,-5.612922949856595e-11
46,1.283056018940311e-14,-1.2786884785303565e-10
47,1.7733684820008242e-14,-1.6715603890606536e-10
48,2.0145280680386358e-14,-1.8576431719604492e-10
49,2.8402676941277918e-14,-2.4686383642122434e-10
50,3.9581032721677646e-14,-3.249067251837005e-10
51,5.7242366545773e-14,-4.4094048815570295e-10
52,7.190346525826365e-14,-5.325286272287525e-10
53,7.311989674525931e-14,-5.399738996043397e-10
54,1.2248823089517855e-13,-8.275530036329024e-10
55,1.8756275532658415e-13,-1.177387584005621e-09
56,2.5593012544552206e-13,-1.5226274414016473e-09
57,2.5603214292494196e-13,-1.5231295646717101e-09
58,2.8391515449575914e-13,-1.6591222931979028e-09
59,2.926911340947595e-13,-1.7014378010951737e-09
60,4.2972323444511654e-13,-2.3376621191662705e-09
61,4.961395724455945e-13,-2.63274319865876e-09
62,7.280924787811224e-13,-3.615620005532144e-09
63,7.938447671611466e-13,-3.88360431520614e-09
64,8.609297678695821e-13,-4.153077251915084e-09
65,8.776772443340032e-13,-4.21977200880669e-09
66,1.0724085449362475e-12,-4.980221421409315e-09
67,1.6310444965463934e-12,-7.0437509151646485e-09
68,2.443431381814838e-12,-9.837668186928249e-09
69,3.751432697393198e-12,-1.4020120988019433e-08
70,4.857952470166544e-12,-1.735756525488144e-08
71,5.5482162579189165e-12,-1.937085047244723e-08
72,6.065273408300014e-12,-2.0850150693600118e-08
73,6.3509158361956284e-12,-2.165783325407337e-08
74,6.605096775097437e-12,-2.237121847015997e-08
75,8.38868118952678e-12,-2.7252921344512328e-08
76,1.1830929468812276e-11,-3.6197798784563976e-08
77,1.3615483370396606e-11,-4.064783393154188e-08
78,1.3735722056684942e-11,-4.094383517007309e-08
79,1.4536776981026047e-11,-4.290445276579448e-08
80,1.521333685676061e-11,-4.4545573081372933e-08
81,1.750553371765768e-11,-5.0014228540912024e-08
82,2.0068729903171092e-11,-5.598211642522654e-08
