Index,uv,dv,ubar,dbar
1,4.284813027747154,3.2749730166988766,10.830258193285426,10.985030026794632
2,4.192485003835807,3.2162607004519157,10.549073411371584,10.703858223971043
3,4.040395232842287,3.1195528322371753,10.085907516636887,10.240725370462453
4,3.7944011048564605,2.9631709813260367,9.336881179216832,9.49180826571218
5,3.674463298335337,2.8869541480238334,8.971773037754362,9.126798659454774
6,3.505583013921869,2.7796954304858033,8.457859898100805,8.613116403566249
7,3.164014163875162,2.563216643487672,7.4198522862897045,7.576283550275608
8,3.1419520557787575,2.5492712795970522,7.352921276543245,7.509485892774205
9,3.033968412947172,2.4811206929195655,7.02565140882367,7.183032126915471
10,2.9890680976767587,2.452845329008215,6.8897627901742595,7.047579177895396
11,2.8043008879620155,2.3370375785701465,6.332276050706213,6.492735005869991
12,2.7861260433775628,2.3257066047382917,6.277627654205288,6.4384408480950075
13,2.7551659338629855,2.3064357214069227,6.184633649635946,6.346098560858415
14,2.692080606363977,2.267302600754994,5.995568084522866,6.158569908720887
15,2.6737697129873834,2.255981103201211,5.940808155026464,6.104314105044374
16,2.643647814461561,2.237396896548802,5.8508535842860505,6.015251374445316
17,2.6240630789165493,2.2253419765923534,5.792456564532365,5.957478414481988
18,2.6032230924119557,2.2125402626273813,5.730399294612799,5.896125746854787
19,2.5853515518336545,2.201584250568914,5.677252696404698,5.843618289710186
20,2.573267895939649,2.194188552472956,5.641357043828952,5.8081737962615385
21,2.4128044244075024,2.0970433632321006,5.168149503842317,5.342638904506828
22,2.3812809244082986,2.078225407851758,5.07606646588247,5.252486230345257
23,2.3636921601325325,2.0677687856889597,5.0248325280198785,5.202398047622643
24,2.3130729942357418,2.037856368333571,4.877999678658863,5.059152928533516
25,2.2826907333670245,2.0200377455879397,4.7903333372965715,4.973857837005941
26,2.2545093739017315,2.003604931198681,4.709348835153455,4.895226771762532
27,2.1617605948362297,1.9502042389199792,4.445252475365762,4.639991126703892
28,2.0920129375915644,1.9107728658128131,4.249337987008886,4.4519444285795995
29,2.072651127956361,1.899941249518748,4.195393233441425,4.400376626655486
30,1.9771314145435195,1.847242259094395,3.9322525177394465,4.150232321045707
31,1.9647510738067937,1.840501532721916,3.898525441604969,4.118346697308167
32,1.9104580118557994,1.811179121005708,3.751690414272997,3.980016599961921
33,1.9027201435530254,1.80703123716486,3.730908232005877,3.9605034656638223
34,1.9008897994768112,1.806051200312248,3.7259976984865655,3.955895190302207
35,1.8395476341659296,1.773448182650782,3.5626299783379536,3.8031135103203972
36,1.8173454944145855,1.7617598697736545,3.504086689190224,3.7486179740119674
37,1.7569688687617313,1.7302544438542986,3.3464983499216885,3.6026042396322238
38,1.7164240765078973,1.7093087736090644,3.2420225002219762,3.506352446555405
39,1.6425385695132881,1.6715100905153197,3.054485464627948,3.3346805519955325
40,1.557368150128623,1.628385405920533,2.8429676990387747,3.1427279087708375
41,1.5440805934110733,1.6216864638772694,2.81042553437927,3.11334844291521
42,1.5294448710789486,1.6143136445451658,2.7747255854208595,3.08116350094593
43,1.4202022504291878,1.5593262788211535,2.5130668018364606,2.8466410118244774
44,1.3729538960479524,1.5354569159707914,2.402551254277131,2.7482475098307484
45,1.3338078459976987,1.5155766747072814,2.3122140317531734,2.6680678010437884
46,1.3335027407355609,1.51542124599413,2.3115143266911065,2.66744756254663
47,1.3297897506645258,1.5135290818515108,2.3030046868505774,2.6599052948212973
48,1.3192074559405933,1.5081292447498462,2.2788068645768553,2.638467359320442
49,1.2963596534951523,1.4964318930271567,2.226841951149228,2.592472174529972
50,1.235685588122684,1.4650535663716697,2.0907093444440563,2.4722091897863034
51,1.212230884913797,1.4527739698834166,2.0388146368256743,2.426429342387836
52,1.1784006561743952,1.4348840764734125,1.9646850185647367,2.361069707375078
53,1.1775568186276648,1.4344349073131772,1.9628469094449128,2.3594493588193712
54,1.1762072427889125,1.4337162241453512,1.9599082718138745,2.3568588767591496
55,1.03365100510839,1.3551542069977378,1.6572463390177323,2.0897040281442933
56,1.0325004816075953,1.3544946721609723,1.6548667041813174,2.087596689799941
57,0.9990074656292154,1.3350771788113873,1.5860410926034478,2.0265599758324835
58,0.9591005403802478,1.3113457121097896,1.5051737365742692,1.9545801091387456
59,0.9499676400509307,1.3058154658142784,1.4868421188896017,1.9382144447111092
60,0.8897784783670047,1.2683370530025115,1.3676794459452588,1.83126953689343
61,0.8834779636383817,1.2643022455411193,1.3553724978766726,1.8201595890394056
62,0.7300622748535137,1.157970651569586,1.0656995303421775,1.5533268586850821
63,0.7187946185533772,1.1494435060012396,1.0451977145757154,1.5339225467628668
64,0.6861316801990063,1.1240630307196549,0.9863808324135726,1.477734633225067
65,0.6817448804122174,1.120575966340306,0.9785515058473738,1.4701925233817712
66,0.6780639621745139,1.1176351544358978,0.9719948844763941,1.4638643429270304
67,0.6401179180957055,1.086494503952486,0.9050940841171055,1.3986171013730364
68,0.6284715164884305,1.0766203047170873,0.8848155655076966,1.3785748978963563
69,0.6026426014573024,1.0541532298403158,0.840275015883125,1.334066882209768
70,0.5913194228108921,1.044045366092852,0.820938337309873,1.3145197000166098
71,0.5858247259037574,1.0390813465109952,0.8115969565691961,1.3050245674384096
72,0.5627178416266031,1.0177675544920712,0.7726158940653028,1.2650121512585248
73,0.5265880762605176,0.9829310761128152,0.7126567166366394,1.2021063634781517
74,0.5060771835111342,0.9622697429068906,0.67916468210606,1.1661541920392364
75,0.43907614204695017,0.8897349155583565,0.5725937820115189,1.047008957269102
76,0.35643515428431655,0.7875853936378068,0.44737089100480537,0.894701059056779
77,0.354866785608442,0.7854881664993734,0.44506348803991175,0.8917333034276704
78,0.27655449258571096,0.6717238460238525,0.33327692744126314,0.7385387372080773
79,0.2697177145587217,0.6608564064412679,0.323845410670713,0.724614884633984
80,0.22610495267123137,0.5873597069707011,0.26497225367916033,0.6331425527544287
81,0.22379594216223547,0.5832522214307025,0.2619187291771177,0.6281580840320752
82,0.20704632896707614,0.5527437642441098,0.2399637667120436,0.5915181050599503
83,0.15011386084649314,0.4384503031489432,0.16798381211032984,0.4594998023850251
