Index,uv,dv,ubar,dbar,u,d
1,9.766978546456048e-10,5.039346226466911e-07,1.706087511970701e-09,6.206465452564263e-07,2.682785366616306e-09,1.1245811679031173e-06
2,3.2351767433420106e-09,8.614576732104261e-07,6.035704139833684e-09,8.460724123964205e-07,9.270880883175695e-09,1.7075300856068465e-06
3,1.0658837606526515e-08,1.4489346378961502e-06,2.129842793726516e-08,9.614903683536102e-07,3.195726554379168e-08,2.4104250062497605e-06
4,1.5159204868652102e-08,1.6840086480254016e-06,3.093153111344936e-08,9.287675623425325e-07,4.609073598210146e-08,2.612776210367934e-06
5,4.349196811863809e-08,2.6117164847652523e-06,9.466033609223234e-08,3.8951154037878326e-07,1.3815230421087044e-07,3.0012280251440355e-06
6,6.217424055318297e-08,3.017283948494974e-06,1.384141025747037e-07,-4.875284136951145e-08,2.0058834312788667e-07,2.9685311071254624e-06
7,7.836145017908131e-08,3.3082287711160484e-06,1.7705677461927433e-07,-4.399212667793556e-07,2.554182247983556e-07,2.868307504336693e-06
8,1.1839281052478864e-07,3.886575645977083e-06,2.747889447534911e-07,-1.4131816408747152e-06,3.9318175527827975e-07,2.4733940051023674e-06
9,1.2069575525757242e-07,3.9155142767387725e-06,2.804892007359329e-07,-1.4688942516953694e-06,4.011849559935053e-07,2.4466200250434034e-06
10,1.2689718063132965e-07,3.991609029426409e-06,2.9587588561576614e-07,-1.6186527755214453e-06,4.227730662470958e-07,2.3729562539049636e-06
11,1.4759389439592528e-07,4.228413647439558e-06,3.4759217006727076e-07,-2.1153084118924123e-06,4.95186064463196e-07,2.1131052355471454e-06
12,1.4909473872440322e-07,4.244668506157062e-06,3.513629492596654e-07,-2.15112083369751e-06,5.004576879840686e-07,2.093547672459552e-06
13,1.517333658017913e-07,4.272972418762207e-06,3.5799872951009367e-07,-2.2140129727014084e-06,5.09732095311885e-07,2.0589594460607985e-06
14,1.6191464358282972e-07,4.37907355721669e-06,3.836775480101551e-07,-2.4558421111548336e-06,5.455921915929847e-07,1.9232314460618567e-06
15,1.6681146427030464e-07,4.4284475170306144e-06,3.960687975599034e-07,-2.571669083265521e-06,5.62880261830208e-07,1.8567784337650933e-06
16,1.7626064183907196e-07,4.5209152996125386e-06,4.200511351327456e-07,-2.7942755688884257e-06,5.963117769718176e-07,1.7266397307241128e-06
17,2.313177017294716e-07,4.999312666593146e-06,5.614680308199333e-07,-4.067769671653797e-06,7.927857325494049e-07,9.315429949393496e-07
18,3.8487107501617734e-07,5.994727255644976e-06,9.675233960417628e-07,-7.428228317277572e-06,1.3523944710579401e-06,-1.4335010616325967e-06
19,3.856623956301056e-07,5.999000647209037e-06,9.69651714540784e-07,-7.444909331042713e-06,1.3553141101708894e-06,-1.4459086838336763e-06
20,4.301052345968367e-07,6.2287908602372834e-06,1.0896819503861599e-06,-8.372602678332787e-06,1.5197871849829965e-06,-2.143811818095504e-06
21,4.4123954195666387e-07,6.283442422700204e-06,1.1199004814720095e-06,-8.602298368222182e-06,1.5611400234286734e-06,-2.318855945521978e-06
22,4.665078775578733e-07,6.405499295042064e-06,1.1883465020425226e-06,-9.11560578228202e-06,1.6548543796003958e-06,-2.710106487239956e-06
23,5.078968100626374e-07,6.590826447647874e-06,1.3017051780025156e-06,-9.953835009247642e-06,1.809601988065153e-06,-3.3630085615997678e-06
24,5.151854007985873e-07,6.619452003198182e-06,1.3222968148599514e-06,-1.0105533366846284e-05,1.8374822156585386e-06,-3.486081363648101e-06
25,7.114559546787576e-07,6.9524591520870724e-06,1.9466676301076478e-06,-1.4572365541361993e-05,2.6581235847864053e-06,-7.6199063892749205e-06
26,7.539823266954346e-07,6.894973255418433e-06,2.1086894300270667e-06,-1.5685935787344305e-05,2.8626717567225015e-06,-8.790962531925873e-06
27,7.739519728952694e-07,6.848094049597955e-06,2.189978576743066e-06,-1.6237818650551144e-05,2.9639305496383353e-06,-9.38972460095319e-06
28,7.773325484774953e-07,6.838787148253602e-06,2.2040881839062768e-06,-1.6333151877384127e-05,2.981420732383772e-06,-9.494364729130525e-06
29,7.777859557433431e-07,6.837507495855765e-06,2.205988384471794e-06,-1.6345980263507997e-05,2.983774340215137e-06,-9.508472767652232e-06
30,8.613520102387023e-07,6.454585237851294e-06,2.5922923171641043e-06,-1.8902063976655353e-05,3.4536443274028063e-06,-1.244747873880406e-05
31,8.739383818885118e-07,6.368250872672282e-06,2.6575003103665743e-06,-1.9323914812451036e-05,3.531438692255086e-06,-1.2955663939778755e-05
32,8.814255313825281e-07,6.313170474376365e-06,2.697072317287514e-06,-1.9578595831115706e-05,3.5784978486700424e-06,-1.3265425356739342e-05
33,9.707894884157757e-07,5.413392465783253e-06,3.2212733426840596e-06,-2.286551106838971e-05,4.192062831099835e-06,-1.7452118602606457e-05
34,1.0568121911851697e-06,4.229579465095166e-06,3.75654789610384e-06,-2.6074043595744173e-05,4.8133600872890094e-06,-2.1844464130649007e-05
35,1.0936167494064514e-06,3.7019661009158715e-06,3.97094212565419e-06,-2.7322901272214565e-05,5.064558875060641e-06,-2.3620935171298694e-05
36,1.098037077556031e-06,3.6388816259909004e-06,3.995869783721411e-06,-2.7466897799428853e-05,5.093906861277441e-06,-2.382801617343795e-05
